ID;asset_ID;requestedBy_ID;description;priority_code;status_code;technician;createdDate;resolvedDate;resolutionDays
3c3c3c3c-0000-0000-0000-000000000013;2b2b2b2b-0000-0000-0000-000000000012;1a1a1a1a-0000-0000-0000-000000000003;Sticky spacebar key, device is out of warranty and not worth fixing;LOW;REJECTED;;2026-03-01;;
3c3c3c3c-0000-0000-0000-000000000014;2b2b2b2b-0000-0000-0000-000000000009;1a1a1a1a-0000-0000-0000-000000000003;Requested RAM upgrade for spare unit, rejected due to budget constraints;MEDIUM;REJECTED;;2026-03-05;;
3c3c3c3c-0000-0000-0000-000000000015;2b2b2b2b-0000-0000-0000-000000000007;1a1a1a1a-0000-0000-0000-000000000004;Requested replacement after loss, rejected pending insurance claim outcome, device is lost not repairable;HIGH;REJECTED;;2026-02-10;;
3c3c3c3c-0000-0000-0000-000000000016;2b2b2b2b-0000-0000-0000-000000000017;1a1a1a1a-0000-0000-0000-000000000008;Requested repair of retired printer, rejected as unit is already decommissioned;CRITICAL;REJECTED;;2026-01-15;;
3c3c3c3c-0000-0000-0000-000000000017;2b2b2b2b-0000-0000-0000-000000000020;1a1a1a1a-0000-0000-0000-000000000003;Pre-issue screen calibration and firmware check for warehouse spare unit;LOW;IN_PROGRESS;Carla Nowak;2026-08-24;;
3c3c3c3c-0000-0000-0000-000000000039;2b2b2b2b-0000-0000-0000-000000000001;1a1a1a1a-0000-0000-0000-000000000001;Trackpad occasionally unresponsive;MEDIUM;IN_PROGRESS;Carla Nowak;2026-08-24;;
3c3c3c3c-0000-0000-0000-000000000018;2b2b2b2b-0000-0000-0000-000000000011;1a1a1a1a-0000-0000-0000-000000000001;Replaced worn keycaps;LOW;COMPLETED;Carla Nowak;2026-02-01;2026-02-02;1
3c3c3c3c-0000-0000-0000-000000000019;2b2b2b2b-0000-0000-0000-000000000001;1a1a1a1a-0000-0000-0000-000000000001;Requested laptop upgrade to a higher spec model;LOW;REJECTED;;2026-01-05;;
3c3c3c3c-0000-0000-0000-000000000020;2b2b2b2b-0000-0000-0000-000000000002;1a1a1a1a-0000-0000-0000-000000000002;Monitor cable connector loose;LOW;OPEN;;2026-08-24;;
3c3c3c3c-0000-0000-0000-000000000021;2b2b2b2b-0000-0000-0000-000000000002;1a1a1a1a-0000-0000-0000-000000000002;Replaced faulty RAM module;MEDIUM;COMPLETED;Carla Nowak;2026-01-10;2026-01-12;2
3c3c3c3c-0000-0000-0000-000000000022;2b2b2b2b-0000-0000-0000-000000000002;1a1a1a1a-0000-0000-0000-000000000002;Requested full desktop replacement instead of repair;MEDIUM;REJECTED;;2025-12-01;;
3c3c3c3c-0000-0000-0000-000000000023;2b2b2b2b-0000-0000-0000-000000000004;1a1a1a1a-0000-0000-0000-000000000003;Replaced cracked charging port;MEDIUM;COMPLETED;David Kim;2026-07-01;2026-07-03;2
3c3c3c3c-0000-0000-0000-000000000024;2b2b2b2b-0000-0000-0000-000000000019;1a1a1a1a-0000-0000-0000-000000000004;iPad occasionally restarts randomly;MEDIUM;OPEN;;2026-08-25;;
3c3c3c3c-0000-0000-0000-000000000025;2b2b2b2b-0000-0000-0000-000000000019;1a1a1a1a-0000-0000-0000-000000000004;Charging port intermittent, diagnosing;LOW;IN_PROGRESS;Carla Nowak;2026-08-01;;
3c3c3c3c-0000-0000-0000-000000000026;2b2b2b2b-0000-0000-0000-000000000008;1a1a1a1a-0000-0000-0000-000000000005;Fan making a loud grinding noise;MEDIUM;OPEN;;2026-08-25;;
3c3c3c3c-0000-0000-0000-000000000027;2b2b2b2b-0000-0000-0000-000000000008;1a1a1a1a-0000-0000-0000-000000000005;Investigating repeated network connectivity drops;HIGH;IN_PROGRESS;Carla Nowak;2026-08-19;;
3c3c3c3c-0000-0000-0000-000000000028;2b2b2b2b-0000-0000-0000-000000000008;1a1a1a1a-0000-0000-0000-000000000005;Requested cosmetic case replacement;LOW;REJECTED;;2025-11-01;;
3c3c3c3c-0000-0000-0000-000000000029;2b2b2b2b-0000-0000-0000-000000000010;1a1a1a1a-0000-0000-0000-000000000006;Requested a larger monitor upgrade;LOW;REJECTED;;2025-10-01;;
3c3c3c3c-0000-0000-0000-000000000030;2b2b2b2b-0000-0000-0000-000000000013;1a1a1a1a-0000-0000-0000-000000000007;Mouse occasionally double-clicks on a single click;LOW;OPEN;;2026-08-25;;
3c3c3c3c-0000-0000-0000-000000000031;2b2b2b2b-0000-0000-0000-000000000013;1a1a1a1a-0000-0000-0000-000000000007;Testing a replacement sensor unit;LOW;IN_PROGRESS;Carla Nowak;2026-08-02;;
3c3c3c3c-0000-0000-0000-000000000032;2b2b2b2b-0000-0000-0000-000000000013;1a1a1a1a-0000-0000-0000-000000000007;Requested an ergonomic mouse instead of a standard replacement;LOW;REJECTED;;2025-09-01;;
3c3c3c3c-0000-0000-0000-000000000033;2b2b2b2b-0000-0000-0000-000000000025;1a1a1a1a-0000-0000-0000-000000000008;Microphone very quiet, other party can not hear;LOW;OPEN;;2026-08-25;;
3c3c3c3c-0000-0000-0000-000000000034;2b2b2b2b-0000-0000-0000-000000000025;1a1a1a1a-0000-0000-0000-000000000008;Testing a replacement headset unit;LOW;IN_PROGRESS;Carla Nowak;2026-08-03;;
3c3c3c3c-0000-0000-0000-000000000035;2b2b2b2b-0000-0000-0000-000000000025;1a1a1a1a-0000-0000-0000-000000000008;Earpad replaced under initial defect claim;LOW;COMPLETED;Carla Nowak;2026-01-15;2026-01-16;1
3c3c3c3c-0000-0000-0000-000000000036;2b2b2b2b-0000-0000-0000-000000000026;1a1a1a1a-0000-0000-0000-000000000009;Monitor stand wobbly, needs tightening or replacement;LOW;OPEN;;2026-08-25;;
3c3c3c3c-0000-0000-0000-000000000037;2b2b2b2b-0000-0000-0000-000000000026;1a1a1a1a-0000-0000-0000-000000000009;Replaced faulty HDMI cable;LOW;COMPLETED;Carla Nowak;2026-02-10;2026-02-10;0
3c3c3c3c-0000-0000-0000-000000000038;2b2b2b2b-0000-0000-0000-000000000018;1a1a1a1a-0000-0000-0000-000000000009;Requested a phone upgrade instead of a screen repair;MEDIUM;REJECTED;;2025-08-01;;
